State,Industry,Employed
New South Wales,"Agriculture, forestry and fishing",122
New South Wales,Mining,27
New South Wales,Manufacturing,258
New South Wales,"Electricity, gas, water and waste services",36
New South Wales,Construction,407
New South Wales,Wholesale trade,218
New South Wales,Retail trade,444
New South Wales,Accommodation and food services,366
New South Wales,"Transport, postal and warehousing",217
New South Wales,Information media and telecommunications,76
New South Wales,"Rental, hiring and real estate services",148
New South Wales,"Professional, scientific and technical services",455
New South Wales,Administrative and support services,317
New South Wales,Public administration and safety (private),30
New South Wales,Education and training (private),158
New South Wales,Health care and social assistance (private),453
New South Wales,Arts and recreation services,64
New South Wales,Other services,170
Victoria,"Agriculture, forestry and fishing",97
Victoria,Mining,7
Victoria,Manufacturing,241
Victoria,"Electricity, gas, water and waste services",30
Victoria,Construction,306
Victoria,Wholesale trade,162
Victoria,Retail trade,377
Victoria,Accommodation and food services,262
Victoria,"Transport, postal and warehousing",159
Victoria,Information media and telecommunications,49
Victoria,"Rental, hiring and real estate services",95
Victoria,"Professional, scientific and technical services",330
Victoria,Administrative and support services,256
Victoria,Public administration and safety (private),24
Victoria,Education and training (private),125
Victoria,Health care and social assistance (private),364
Victoria,Arts and recreation services,67
Victoria,Other services,130
Queensland,"Agriculture, forestry and fishing",95
Queensland,Mining,45
Queensland,Manufacturing,164
Queensland,"Electricity, gas, water and waste services",26
Queensland,Construction,232
Queensland,Wholesale trade,92
Queensland,Retail trade,269
Queensland,Accommodation and food services,207
Queensland,"Transport, postal and warehousing",129
Queensland,Information media and telecommunications,21
Queensland,"Rental, hiring and real estate services",95
Queensland,"Professional, scientific and technical services",192
Queensland,Administrative and support services,169
Queensland,Public administration and safety (private),16
Queensland,Education and training (private),86
Queensland,Health care and social assistance (private),302
Queensland,Arts and recreation services,44
Queensland,Other services,112
South Australia,"Agriculture, forestry and fishing",45
South Australia,Mining,10
South Australia,Manufacturing,61
South Australia,"Electricity, gas, water and waste services",9
South Australia,Construction,63
South Australia,Wholesale trade,31
South Australia,Retail trade,95
South Australia,Accommodation and food services,61
South Australia,"Transport, postal and warehousing",42
South Australia,Information media and telecommunications,7
South Australia,"Rental, hiring and real estate services",20
South Australia,"Professional, scientific and technical services",53
South Australia,Administrative and support services,55
South Australia,Public administration and safety (private),4
South Australia,Education and training (private),29
South Australia,Health care and social assistance (private),104
South Australia,Arts and recreation services,12
South Australia,Other services,33
Western Australia,"Agriculture, forestry and fishing",54
Western Australia,Mining,94
Western Australia,Manufacturing,86
Western Australia,"Electricity, gas, water and waste services",15
Western Australia,Construction,134
Western Australia,Wholesale trade,54
Western Australia,Retail trade,144
Western Australia,Accommodation and food services,104
Western Australia,"Transport, postal and warehousing",69
Western Australia,Information media and telecommunications,9
Western Australia,"Rental, hiring and real estate services",41
Western Australia,"Professional, scientific and technical services",114
Western Australia,Administrative and support services,95
Western Australia,Public administration and safety (private),10
Western Australia,Education and training (private),34
Western Australia,Health care and social assistance (private),146
Western Australia,Arts and recreation services,20
Western Australia,Other services,61
Tasmania,"Agriculture, forestry and fishing",21
Tasmania,Mining,2
Tasmania,Manufacturing,20
Tasmania,"Electricity, gas, water and waste services",4
Tasmania,Construction,20
Tasmania,Wholesale trade,7
Tasmania,Retail trade,27
Tasmania,Accommodation and food services,21
Tasmania,"Transport, postal and warehousing",12
Tasmania,Information media and telecommunications,2
Tasmania,"Rental, hiring and real estate services",6
Tasmania,"Professional, scientific and technical services",12
Tasmania,Administrative and support services,12
Tasmania,Public administration and safety (private),1
Tasmania,Education and training (private),6
Tasmania,Health care and social assistance (private),35
Tasmania,Arts and recreation services,4
Tasmania,Other services,10
Northern Territory,"Agriculture, forestry and fishing",4
Northern Territory,Mining,4
Northern Territory,Manufacturing,4
Northern Territory,"Electricity, gas, water and waste services",1
Northern Territory,Construction,14
Northern Territory,Wholesale trade,3
Northern Territory,Retail trade,11
Northern Territory,Accommodation and food services,12
Northern Territory,"Transport, postal and warehousing",6
Northern Territory,Information media and telecommunications,1
Northern Territory,"Rental, hiring and real estate services",3
Northern Territory,"Professional, scientific and technical services",6
Northern Territory,Administrative and support services,5
Northern Territory,Public administration and safety (private),2
Northern Territory,Education and training (private),4
Northern Territory,Health care and social assistance (private),14
Northern Territory,Arts and recreation services,2
Northern Territory,Other services,7
Australian Capital Territory,"Agriculture, forestry and fishing",1
Australian Capital Territory,Mining,0
Australian Capital Territory,Manufacturing,4
Australian Capital Territory,"Electricity, gas, water and waste services",1
Australian Capital Territory,Construction,20
Australian Capital Territory,Wholesale trade,3
Australian Capital Territory,Retail trade,21
Australian Capital Territory,Accommodation and food services,21
Australian Capital Territory,"Transport, postal and warehousing",6
Australian Capital Territory,Information media and telecommunications,3
Australian Capital Territory,"Rental, hiring and real estate services",6
Australian Capital Territory,"Professional, scientific and technical services",37
Australian Capital Territory,Administrative and support services,19
Australian Capital Territory,Public administration and safety (private),2
Australian Capital Territory,Education and training (private),9
Australian Capital Territory,Health care and social assistance (private),28
Australian Capital Territory,Arts and recreation services,4
Australian Capital Territory,Other services,12
